city,companyFullName,companyId,companyLabelList,companyShortName,companySize,businessZones,firstType,secondType,education,industryField,positionId,positionAdvantage,positionName,positionLables,salary,workYear
上海,纽海信息技术(上海)有限公司,8581,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",1号店,2000人以上,['张江'],技术,数据开发,硕士,移动互联网,2537336,知名平台,数据分析师,"['分析师', '数据分析', '数据挖掘', '数据']",7k-9k,应届毕业生
上海,上海点荣金融信息服务有限责任公司,23177,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",点融网,500-2000人,"['五里桥', '打浦桥', '制造局路']",技术,数据开发,本科,金融,2427485,"挑战机会,团队好,与大牛合作,工作环境好",数据分析师-CR2017-SH2909,"['分析师', '数据分析', '数据挖掘', '数据']",10k-15k,应届毕业生
上海,上海晶樵网络信息技术有限公司,57561,"['技能培训', '绩效奖金', '岗位晋升', '管理规范']",SPD,50-150人,['打浦桥'],设计,数据分析,本科,移动互联网,2511252,"时间自由,领导nic",数据分析师,"['分析师', '数据分析', '数据']",4k-6k,应届毕业生
上海,杭州数云信息技术有限公司上海分公司,7502,"['绩效奖金', '股票期权', '五险一金', '通讯津贴']",数云,150-500人,"['龙华', '上海体育场', '万体馆']",市场与销售,数据分析,本科,"企业服务,数据服务",2427530,五险一金 绩效奖金 带薪年假 节日福利,大数据业务分析师【数云校招】,"['商业', '分析师', '大数据', '数据']",6k-8k,应届毕业生
上海,上海银基富力信息技术有限公司,130876,"['年底双薪', '通讯津贴', '定期体检', '绩效奖金']",银基富力,15-50人,"['上海影城', '新华路', '虹桥']",技术,软件开发,本科,其他,2245819,在大牛下指导,BI开发/数据分析师,"['分析师', '数据分析', '数据', 'BI']",2k-3k,应届毕业生
上海,上海青之桐投资管理有限公司,28095,"['美女多', '出国旅游', '不打卡', '带薪年假']",青桐资本,50-150人,,金融类,天使投资/VC/PE,本科,金融,2580543,"留用机会,精品投行,优秀团队,氛围轻松",助理分析师,"['实习', '投资', 'FA', '行业研究', '分析师']",10k-15k,应届毕业生
上海,上海好体信息科技有限公司,2002,"['年底双薪', '股票期权', '扁平管理', '领导好']",足球魔方,150-500人,"['龙华', '植物园', '上海南站']",技术,后端开发,本科,"移动互联网,电子商务",1449715,薪资福利待遇好，晋升空间大,数据工程师,['数据'],7k-14k,应届毕业生
上海,上海安硕信息技术股份有限公司,21863,"['岗位晋升', '顶尖团队', '福利优厚', '股票期权']",安硕信息（amarsoft）,2000人以上,"['黄兴公园', '长白新村', '延吉']",产品/需求/项目类,产品设计/需求分析,硕士,金融,2568628,健康体检,数据咨询顾问(2017年毕业),"['需求分析', '顾问', '咨询', '咨询顾问', '数据']",5k-7k,应届毕业生
上海,上海崇杏健康管理咨询有限公司,121208,"['扁平管理', '弹性工作', '岗位晋升', '领导好']",上海崇杏,15-50人,"['上海电视台', '南京西路', '人民广场']",技术,后端开发,本科,"移动互联网,医疗健康",2416852,"扁平管理,上升空间大,领导好,弹性工作",数据处理工程师（实习生）,"['后端开发', '数据']",4k-8k,应届毕业生
上海,五五海淘（上海）科技股份有限公司,58109,"['股票期权', '带薪年假', '绩效奖金', '岗位晋升']",55海淘,150-500人,"['漕宝路', '万源城', '东兰路']",技术,后端开发,本科,电子商务,1605795,向大牛学习，有留司机会,数据处理实习生,['数据'],2k-4k,应届毕业生
上海,莉莉丝科技（上海）有限公司,1938,"['都是萌妹子', '项目奖金', '零食无限量', '国内外旅游']",莉莉丝游戏,150-500人,"['万源城', '漕宝路', '东兰路']",技术,后端开发,本科,"移动互联网,游戏",2157863,带薪年假 节日福利 出国机会 萌妹纸多,大数据平台开发实习生,"['平台', '大数据', '数据']",5k-6k,应届毕业生
上海,我厨（上海）科技有限公司,51223,"['节日礼物', '技能培训', '带薪年假', '岗位晋升']",我厨（上海）科技有限公司,150-500人,,设计,用户研究,本科,"电子商务,O2O",2548985,"可转正,成长空间大",数据分析专员（实习生）,"['数据分析', '数据']",2k-4k,应届毕业生
上海,上海阑途信息技术有限公司,36009,"['技能培训', '节日礼物', '免费班车', '绩效奖金']",途虎养车网,500-2000人,"['梅陇', '南方商城', '古美']",技术,软件开发,本科,移动互联网,2392425,"有爱的同事,欢快的氛围",BI数据分析实习生（2017年毕业）,"['数据分析', '数据', 'BI']",2k-3k,应届毕业生
上海,上海麦子资产管理有限公司,63922,"['工资自己定', '期权任性发', '金融狂人聚集', '半年晋升']",麦子金服,500-2000人,"['肇嘉浜路', '徐家汇', '交通大学']",市场与销售,市场/营销,本科,"移动互联网,金融",1243515,工资自己定，期权任性发，半年晋升,数据专员,['数据'],4k-6k,应届毕业生
上海,上海如旺电子商务有限公司,48294,"['年底双薪', '节日礼物', '技能培训', '免费班车']",旺旺集团火热招聘,50-150人,"['虹桥', '古北', '虹梅路']",技术,后端开发,硕士,"电子商务,社交网络",2392372,旺旺集团旗下电商，扁平管理，人性化环境,数据工程师(大数据方向实习生),"['大数据', '数据']",4k-8k,应届毕业生
上海,上海点荣金融信息服务有限责任公司,23177,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",点融网,500-2000人,"['五里桥', '打浦桥', '制造局路']",技术,后端开发,本科,金融,2427555,"机会挑战,技术牛,团队年轻,工作环境好",数据研发工程师-CR2017-SH2913,['数据'],10k-15k,应届毕业生
上海,杭州数云信息技术有限公司上海分公司,7502,"['绩效奖金', '股票期权', '五险一金', '通讯津贴']",数云,150-500人,,技术,后端开发,硕士,"企业服务,数据服务",2414480,大牛团队，奶妈助攻，六险一金，不要不来,大数据工程师【校招】,"['大数据', '数据']",10k-15k,应届毕业生
上海,上海好体信息科技有限公司,2002,"['年底双薪', '股票期权', '扁平管理', '领导好']",足球魔方,150-500人,"['龙华', '植物园', '上海南站']",运营,运营,本科,"移动互联网,电子商务",2320870,"足球氛围,福利多,空间大,免费午餐",足球分析师,"['分析师', '内容']",6k-8k,应届毕业生
上海,上海君同德翔管理咨询有限公司,149677,,Juntong Capital,少于15人,['淮海路'],金融,天使投资/VC/PE,本科,金融,2411279,资深团队；交通便利；考虑留用,分析师,['分析师'],2k-3k,应届毕业生
上海,上海清源绿网科技有限公司,57577,"['节日礼物', '带薪年假', '绩效奖金', '扁平管理']",清源大数据,15-50人,['张江'],金融类,金融类-天使投资/VC/PE,本科,数据服务,2527100,"互联网VC,活力团队,资深创投人",分析师,['分析师'],3k-4k,应届毕业生
