age,gender,income,rfm_score,response
50,0,55645,0,0
50,0,55645,0,0
38,1,55643,0,0
26,0,55642,0,0
46,0,55640,0,0
30,0,55639,0,0
30,0,55639,0,0
45,0,55637,0,0
45,1,55633,0,0
45,1,55633,0,0
43,1,55633,0,0
38,1,55631,0,0
38,1,55631,0,0
36,1,55629,0,0
52,0,55621,0,0
52,0,55621,0,0
40,0,55616,0,0
30,0,55616,0,0
25,0,55616,0,0
25,0,55616,0,0
36,0,55615,0,0
36,0,55615,0,0
43,1,55613,0,0
43,1,55613,0,0
65,1,55607,0,0
47,1,55607,0,0
47,1,55607,0,0
38,1,55607,0,0
38,1,55607,0,0
28,0,55606,0,0
48,0,55604,0,0
48,0,55604,0,0
47,1,55602,0,0
51,0,55602,0,0
29,0,55602,0,0
44,1,55593,0,0
44,1,55593,0,0
33,0,55593,0,0
55,1,55592,0,0
55,1,55592,0,0
67,1,55590,0,0
44,0,55584,0,0
26,1,55582,0,0
62,1,55580,0,0
39,0,55576,0,0
35,0,55576,0,0
28,0,55576,0,0
69,1,55573,0,0
37,1,55573,0,0
37,1,55573,0,0
36,0,55573,0,0
36,0,55573,0,0
34,1,55570,0,0
22,1,55568,0,0
22,1,55568,0,0
17,0,55568,0,0
46,1,55565,0,0
34,1,55558,0,0
33,1,55557,0,0
33,1,55557,0,0
39,0,55557,0,0
33,0,55557,0,0
45,0,55555,0,0
17,1,55554,0,0
37,1,55552,0,0
43,1,55549,0,0
33,0,55549,0,0
25,0,55549,0,0
42,0,55548,0,0
42,1,55544,0,0
42,1,55544,0,0
37,1,55543,0,0
26,1,55542,0,0
41,0,55541,0,0
40,0,55541,0,0
16,0,55541,0,0
16,0,55541,0,0
36,1,55535,0,0
36,1,55535,0,0
32,0,55533,0,0
32,0,55533,0,0
55,1,55532,0,0
35,1,55532,0,0
30,1,55530,0,0
23,1,55530,0,0
62,0,55529,0,0
62,0,55529,0,0
29,0,55528,0,0
51,0,55526,0,0
53,0,55523,0,0
26,1,55521,0,0
26,1,55521,0,0
26,1,55519,0,0
26,1,55519,0,0
43,0,55518,0,0
11,0,55516,0,0
51,1,55512,0,0
33,1,55512,0,0
31,0,55510,0,0
38,0,55505,0,0
68,1,55499,0,0
58,0,55499,0,0
38,1,55494,0,0
39,0,55492,0,0
34,1,55490,0,0
27,0,55490,0,0
35,0,55488,0,0
12,0,55488,0,0
12,0,55488,0,0
21,1,55480,0,0
48,1,55476,0,0
17,0,55474,0,0
31,1,55474,0,0
45,0,55470,0,0
66,1,55469,0,0
46,0,55467,0,0
43,0,55461,0,0
58,1,55461,0,0
58,0,55460,0,0
58,0,55460,0,0
42,0,55460,0,0
30,1,55459,0,0
30,1,55459,0,0
38,0,55459,0,0
21,0,55458,0,0
29,0,55457,0,0
29,0,55457,0,0
36,0,55455,0,0
36,0,55455,0,0
23,1,55454,0,0
23,1,55454,0,0
56,0,55454,0,0
56,0,55454,0,0
41,0,55450,0,0
31,0,55449,0,0
30,0,55448,0,0
48,0,55447,0,0
28,0,55446,0,0
24,1,55444,0,0
52,0,55442,0,0
52,0,55442,0,0
26,1,55438,0,0
32,0,55433,0,0
53,1,55428,0,0
53,1,55428,0,0
46,1,55428,0,0
35,0,55426,0,0
35,0,55426,0,0
33,1,55423,0,0
46,1,55420,0,0
39,1,55414,0,0
34,1,55405,0,0
55,0,55405,0,0
48,0,55405,0,0
43,1,55401,0,0
45,0,55399,0,0
57,1,55395,0,0
37,0,55395,0,0
35,0,55394,0,0
41,0,55391,0,0
16,0,55389,0,0
16,0,55389,0,0
14,0,55383,0,0
32,0,55382,0,0
42,0,55381,0,0
35,0,55380,0,0
35,0,55380,0,0
51,0,55378,0,0
41,0,55378,0,0
41,0,55378,0,0
34,1,55366,0,0
55,1,55364,0,0
26,1,55363,0,0
26,1,55363,0,0
45,0,55363,0,0
45,0,55363,0,0
24,0,55362,0,0
24,0,55360,0,0
24,0,55360,0,0
51,1,55358,0,0
74,0,55356,0,0
51,0,55356,0,0
40,1,55352,0,0
40,1,55352,0,0
23,0,55352,0,0
57,1,55350,0,0
47,0,55349,0,0
36,1,55347,0,0
35,1,55347,0,0
35,1,55347,0,0
42,0,55347,0,0
18,0,55347,0,0
55,1,55346,0,0
62,0,55344,0,0
36,0,55344,0,0
36,0,55344,0,0
36,1,55342,0,0
36,1,55342,0,0
26,1,55342,0,0
36,1,55341,0,0
36,1,55341,0,0
26,1,55341,0,0
51,0,55341,0,0
27,0,55341,0,0
26,0,55341,0,0
26,0,55341,0,0
40,1,55340,0,0
18,1,55339,0,0
18,1,55339,0,0
33,0,55339,0,0
33,0,55339,0,0
46,1,55336,0,0
46,1,55336,0,0
25,1,55336,0,0
25,1,55336,0,0
25,0,55336,0,0
28,1,55333,0,0
20,0,55333,0,0
20,0,55333,0,0
65,1,55331,0,0
55,0,55330,0,0
24,0,55330,0,0
47,1,55329,0,0
41,1,55327,0,0
41,1,55327,0,0
41,1,55327,0,0
38,1,55327,0,0
38,1,55327,0,0
34,0,55327,0,0
24,1,55326,0,0
24,1,55326,0,0
46,0,55326,0,0
44,0,55326,0,0
41,0,55326,0,0
55,1,55325,0,0
35,1,55325,0,0
19,1,55325,0,0
43,1,55324,0,0
19,1,55323,0,0
43,0,55323,0,0
43,0,55323,0,0
40,1,55322,0,0
50,0,55322,0,0
50,0,55322,0,0
30,1,55321,0,0
47,0,55321,0,0
47,0,55321,0,0
51,1,55319,0,0
51,1,55319,0,0
43,1,55317,0,0
37,1,55317,0,0
37,1,55317,0,0
29,1,55317,0,0
26,1,55317,0,0
23,1,55316,0,0
23,1,55316,0,0
33,0,55316,0,0
51,0,55315,0,0
51,0,55315,0,0
34,0,55314,0,0
19,0,55314,0,0
46,1,55313,0,0
43,1,55312,0,0
38,1,55311,0,0
57,0,55311,0,0
66,0,55310,0,0
54,1,55309,0,0
54,1,55309,0,0
23,1,55309,0,0
54,0,55309,0,0
54,0,55309,0,0
51,0,55309,0,0
51,0,55309,0,0
41,0,55309,0,0
41,0,55309,0,0
32,0,55309,0,0
50,1,55308,0,0
50,1,55308,0,0
39,1,55306,0,0
39,1,55306,0,0
33,1,55306,0,0
32,0,55306,0,0
31,0,55306,0,0
24,0,55306,0,0
24,0,55306,0,0
39,1,55305,0,0
39,1,55305,0,0
27,0,55305,0,0
45,0,55303,0,0
34,0,55302,0,0
34,1,55299,0,0
34,1,55299,0,0
31,1,55299,0,0
36,1,55295,0,0
36,1,55295,0,0
37,0,55292,0,0
35,0,55292,0,0
35,0,55292,0,0
31,0,55292,0,0
31,0,55292,0,0
30,0,55292,0,0
43,1,55291,0,0
43,1,55291,0,0
43,1,55291,0,0
43,1,55291,0,0
49,0,55291,0,0
37,0,55291,0,0
37,0,55291,0,0
26,0,55290,0,0
38,0,55290,0,0
38,0,55290,0,0
36,0,55289,0,0
36,0,55289,0,0
35,0,55289,0,0
43,1,55288,0,0
40,1,55288,0,0
25,0,55288,0,0
43,1,55287,0,0
54,0,55287,0,0
49,0,55286,0,0
43,1,55285,0,0
43,1,55285,0,0
57,1,55284,0,0
57,1,55284,0,0
29,1,55284,0,0
27,1,55284,0,0
39,0,55284,0,0
39,0,55284,0,0
26,0,55284,0,0
57,1,55282,0,0
57,1,55282,0,0
51,1,55281,0,0
40,0,55281,0,0
48,1,55280,0,0
36,1,55279,0,0
36,1,55279,0,0
23,1,55279,0,0
35,1,55278,0,0
35,1,55278,0,0
33,1,55277,0,0
52,0,55277,0,0
52,0,55277,0,0
46,0,55277,0,0
34,1,55275,0,0
53,0,55275,0,0
53,0,55275,0,0
36,0,55275,0,0
49,1,55273,0,0
49,1,55273,0,0
31,1,55273,0,0
36,1,55270,0,0
44,1,55269,0,0
44,1,55269,0,0
35,1,55269,0,0
49,1,55267,0,0
49,1,55267,0,0
