date	number
03-01-1991	281
03-02-1991	304
03-03-1991	292
03-04-1991	360
03-05-1991	320
03-06-1991	185
03-07-1991	300
03-08-1991	297
03-09-1991	301
03-10-1991	199
03-11-1991	210
03-12-1991	377
03-13-1991	361
03-14-1991	349
03-15-1991	400
03-16-1991	175
03-17-1991	210
03-18-1991	300
03-19-1991	160
03-20-1991	140
03-21-1991	327
03-22-1991	166
03-23-1991	280
03-24-1991	307
03-25-1991	189
03-26-1991	161
03-27-1991	99
03-28-1991	80
03-29-1991	77
03-30-1991	90
03-31-1991	132
04-01-1991	87
04-02-1991	66
04-03-1991	88
04-04-1991	92
04-05-1991	166
04-06-1991	147
04-07-1991	77
04-08-1991	147
04-09-1991	90
04-10-1991	67
04-11-1991	221
04-12-1991	110
04-13-1991	196
04-14-1991	180
04-15-1991	210
04-16-1991	201
04-17-1991	166
04-18-1991	172
04-19-1991	201
04-20-1991	188
04-21-1991	218
04-22-1991	231
04-23-1991	195
04-24-1991	201
04-25-1991	237
04-26-1991	241
04-27-1991	166
04-28-1991	232
04-29-1991	261
04-30-1991	221
05-01-1991	189
05-02-1991	161
05-03-1991	104
05-04-1991	97
05-05-1991	154
05-06-1991	92
05-07-1991	79
05-08-1991	91
05-09-1991	99
05-10-1991	94
05-11-1991	87
05-12-1991	142
05-13-1991	156
05-14-1991	143
05-15-1991	173
05-16-1991	143
05-17-1991	121
05-18-1991	101
05-19-1991	166
05-20-1991	193
05-21-1991	147
05-22-1991	177
05-23-1991	166
05-24-1991	110
05-25-1991	131
05-26-1991	96
05-27-1991	76
05-28-1991	66
05-29-1991	77
05-30-1991	172
05-31-1991	161
06-01-1991	147
06-02-1991	112
06-03-1991	94
06-04-1991	210
06-05-1991	166
06-06-1991	184
06-07-1991	210
06-08-1991	222
06-09-1991	226
06-10-1991	306
06-11-1991	187
06-12-1991	167
06-13-1991	147
06-14-1991	121
06-15-1991	110
06-16-1991	107
06-17-1991	90
06-18-1991	101
06-19-1991	116
06-20-1991	90
06-21-1991	141
06-22-1991	92
06-23-1991	153
06-24-1991	172
06-25-1991	119
06-26-1991	108
06-27-1991	100
06-28-1991	99
06-29-1991	116
06-30-1991	96
07-01-1991	60
07-02-1991	71
07-03-1991	112
07-04-1991	121
07-05-1991	113
07-06-1991	140
07-07-1991	92
07-08-1991	191
07-09-1991	99
07-10-1991	110
07-11-1991	167
07-12-1991	90
07-13-1991	90
07-14-1991	161
07-15-1991	196
07-16-1991	206
07-17-1991	301
07-18-1991	199
07-19-1991	181
07-20-1991	144
07-21-1991	171
07-22-1991	96
07-23-1991	66
07-24-1991	47
07-25-1991	150
07-26-1991	141
07-27-1991	201
