limit_infor,campaign_type,campaign_level,product_level,resource_amount,email_rate,price,discount_rate,hour_resouces,campaign_fee,orders
0,6,0,1,1,0.08,140,0.83,93,888,1981
0,0,0,1,1,0.10,144,0.75,150,836,986
0,1,1,1,1,0.12,149,0.84,86,1330,1416
0,3,1,2,1,0.12,141,0.82,95,2273,2368
0,0,0,1,1,0.10,146,0.59,73,1456,1529
0,3,1,2,1,0.14,149,0.81,53,1552,1605
0,0,0,1,1,0.12,143,0.64,54,768,822
0,4,1,1,1,0.15,144,0.78,47,1491,1538
0,2,1,1,2,0.13,144,0.63,89,2147,2236
0,1,1,1,2,0.15,148,0.78,41,1280,1321
0,5,1,1,2,0.19,154,0.87,54,1367,1421
0,0,0,2,2,0.16,180,0.80,196,1781,1977
0,6,0,2,2,0.16,154,0.73,68,891,959
0,4,1,1,2,0.15,147,0.70,38,1368,1406
0,0,0,1,2,0.16,142,0.75,284,2027,2311
0,2,1,2,2,0.19,169,0.88,43,1220,1263
0,3,1,1,2,0.16,160,0.70,25,1137,1162
0,6,0,2,2,0.17,183,0.78,67,1234,1301
1,1,0,2,2,0.18,154,0.81,117,883,1000
0,5,1,1,2,0.16,146,0.65,75,1468,1543
0,6,0,1,2,0.18,146,0.81,333,2160,2493
0,1,1,2,2,0.19,160,0.81,42,1459,2201
0,2,1,1,2,0.19,158,0.80,74,1376,1450
0,4,1,1,2,0.18,144,0.72,61,1489,1550
0,5,1,1,2,0.21,151,0.89,149,1597,1746
1,1,0,1,2,0.19,152,0.77,217,2081,2298
0,4,1,1,2,0.19,150,0.78,130,3162,3292
0,2,1,2,2,0.23,183,0.95,47,1313,1360
0,4,1,1,2,0.22,169,0.89,15,416,431
0,1,1,1,2,0.19,144,0.75,120,1229,1349
0,6,0,1,2,0.21,165,0.85,123,975,1098
0,5,1,2,2,0.21,150,0.83,148,1362,1510
0,4,1,1,2,0.20,132,0.77,123,1562,1685
0,2,1,1,2,0.21,159,0.84,108,1454,1562
0,5,1,2,2,0.22,179,0.88,38,1129,1167
0,4,1,1,2,0.23,152,0.91,88,1518,1606
0,5,1,2,2,0.23,159,0.87,88,1620,1708
0,1,1,2,2,0.22,158,0.85,439,2290,2729
0,0,0,1,2,0.25,172,0.93,140,956,1096
0,2,1,2,2,0.23,186,0.85,9,674,683
0,3,1,3,2,0.20,186,0.71,34,472,506
0,5,1,2,2,0.22,145,0.80,115,3048,3163
0,1,1,2,2,0.24,191,0.89,145,2287,2432
0,2,1,1,2,0.20,154,0.64,64,1466,1530
0,0,0,1,2,0.25,149,0.93,377,2366,2743
0,3,1,1,2,0.25,142,0.91,139,1778,1917
0,6,0,1,2,0.23,154,0.80,288,1184,1472
0,1,1,1,2,0.23,141,0.83,94,3328,3422
0,2,1,2,2,0.23,162,0.87,186,1799,1985
0,6,0,3,2,0.21,173,0.71,192,1977,2169
0,1,1,2,2,0.25,170,0.90,106,2270,2376
0,3,1,1,2,0.23,144,0.81,82,1518,1600
0,1,1,2,2,0.26,179,0.92,174,746,920
0,0,0,1,2,0.23,148,0.81,251,953,1204
0,6,0,2,2,0.24,193,0.84,100,905,1005
0,6,0,2,2,0.25,,0.84,222,1026,1248
0,1,1,1,2,0.27,167,0.94,143,3167,3310
0,0,0,1,2,0.25,159,0.83,220,2211,2431
0,3,1,3,2,0.22,182,0.68,9,432,441
0,1,1,1,2,0.24,151,0.77,203,3130,3333
0,0,0,1,2,0.26,152,0.87,408,1379,1787
0,0,0,1,2,0.26,147,0.85,309,2115,2424
0,4,1,1,2,0.26,157,0.88,254,2169,2423
0,0,0,2,3,0.25,149,0.82,472,1221,1693
0,6,0,2,3,0.24,175,0.88,159,1182,2341
0,5,1,2,3,0.26,159,0.84,644,2451,3095
0,6,0,3,3,0.23,188,0.65,57,570,627
0,4,1,2,3,0.23,165,0.65,247,1867,2114
0,4,1,1,3,0.26,151,0.83,340,5035,5375
0,0,0,1,3,0.23,148,0.65,364,1432,1796
0,3,1,2,3,0.27,172,0.87,109,2693,2802
0,6,0,2,3,0.25,156,0.76,275,2464,2739
0,2,1,1,3,0.26,146,0.80,221,3735,3956
0,3,1,2,3,0.25,178,0.74,72,1454,1526
0,5,1,2,3,0.26,161,0.80,214,1730,1944
0,4,1,2,3,0.26,154,0.80,83,1844,1927
0,1,1,1,3,0.24,155,0.66,244,1628,1872
0,6,0,2,3,0.27,178,0.88,384,2448,2832
0,5,1,1,3,0.26,150,0.77,300,1910,2210
0,1,1,1,3,0.26,130,0.79,222,1806,2028
0,4,1,1,3,0.26,156,0.81,163,3667,3830
0,0,0,2,3,0.26,169,0.82,318,2629,2947
0,4,1,1,3,0.26,158,0.76,150,3172,3322
0,4,1,1,3,0.28,152,0.87,140,3132,3272
0,6,0,1,3,0.24,144,0.59,205,1544,1749
0,6,0,1,3,0.26,139,0.79,981,1515,2496
0,2,1,1,3,0.25,131,0.71,140,1675,1815
0,2,1,1,3,0.26,154,0.78,137,1714,1851
0,4,1,3,3,0.26,192,0.78,179,1506,1685
0,1,1,1,3,0.26,140,0.78,126,3498,3624
0,1,1,1,3,0.30,174,0.95,120,1592,1712
1,1,0,1,3,0.25,138,0.67,244,1707,1951
0,3,1,2,3,0.28,185,0.87,92,2085,2177
0,5,1,1,3,0.25,151,0.62,174,3040,3214
0,5,1,1,3,0.27,141,0.83,245,3147,3392
0,0,0,1,3,0.28,168,0.84,303,451,754
0,6,0,1,3,0.27,151,0.77,502,2688,3190
0,1,1,1,3,0.28,164,0.83,260,3143,3403
0,6,0,1,3,0.25,140,0.62,532,1745,2277
0,0,0,1,3,0.27,141,0.79,515,2874,3389
0,0,0,2,3,0.27,152,0.75,618,2071,2689
1,1,0,1,3,0.27,151,0.77,502,2627,3129
0,2,1,1,3,0.28,157,0.83,466,5220,5686
0,5,1,2,3,0.29,154,0.88,227,3604,3831
0,4,1,1,3,0.30,156,0.88,243,5080,5323
0,5,1,1,3,0.29,164,0.87,429,5182,5611
0,2,1,1,3,0.30,159,0.86,155,3368,3523
0,6,0,1,3,0.28,154,0.81,424,1545,3969
0,0,0,1,3,0.27,131,0.76,558,2685,3243
0,1,1,1,3,0.30,162,0.85,206,3578,3784
0,4,1,2,3,0.27,181,0.76,166,1699,1865
0,0,0,1,3,0.28,141,0.78,639,1173,1812
0,0,0,1,3,0.29,157,0.86,354,1269,1623
0,6,0,1,3,0.28,135,0.77,968,3150,4118
0,2,1,1,3,0.30,159,0.79,163,3614,3777
0,3,1,1,3,0.28,155,0.80,373,5122,5495
0,5,1,1,3,0.32,170,0.92,261,3359,3620
0,6,0,1,3,0.26,140,0.58,317,2415,2732
1,2,0,2,3,0.29,173,0.83,440,573,1013
0,2,1,2,3,0.28,179,0.76,123,3836,3959
0,3,1,2,3,0.30,,0.79,78,1572,1650
0,2,1,1,3,0.30,142,0.88,316,1817,2133
0,3,1,1,3,0.29,164,0.84,467,3803,4270
0,4,1,2,3,0.29,170,0.75,100,1707,1807
0,3,1,2,3,0.29,178,0.78,191,1700,1891
0,3,1,2,3,0.27,155,0.70,326,4709,5035
0,4,1,1,3,0.29,149,0.83,425,5107,5532
0,3,1,1,3,0.29,151,0.79,198,5062,5260
0,3,1,2,3,0.30,154,0.84,310,5009,5319
0,6,0,2,3,0.32,181,0.94,951,4240,5191
0,5,1,1,3,0.32,165,0.94,362,5306,5668
0,3,1,1,3,0.28,150,0.71,255,2047,2302
0,6,0,1,3,0.31,161,0.90,706,2908,3614
0,5,1,2,3,0.28,169,0.74,307,1920,2227
0,3,1,2,3,0.30,165,0.83,168,1368,1536
0,6,0,1,3,0.30,154,0.81,155,856,1011
0,2,1,1,3,0.29,131,0.77,317,2108,2425
1,1,0,2,3,0.28,161,0.69,195,912,1107
0,3,1,1,3,0.28,144,0.58,109,3267,3376
0,2,1,1,3,0.32,165,0.81,173,3425,3598
0,5,1,1,3,0.32,164,0.87,491,2508,2999
0,4,1,1,3,0.31,152,0.78,182,3545,3727
0,1,1,1,3,0.34,154,0.95,337,4750,5087
0,5,1,1,3,0.31,153,0.82,310,3841,4151
0,5,1,1,3,0.33,163,0.90,268,3672,3940
0,6,0,2,3,0.32,165,0.80,898,1354,2252
0,6,0,1,3,0.33,154,0.79,775,3248,4023
0,5,1,2,3,0.31,165,0.77,247,1730,1977
0,0,0,1,3,0.32,146,0.74,397,1192,1589
0,4,1,2,3,0.33,175,0.91,74,2931,3005
0,2,1,2,3,0.32,166,0.82,289,1767,2056
0,3,1,2,3,0.34,166,0.94,178,3562,3740
0,2,1,2,3,0.31,183,0.79,87,1009,1096
0,3,1,1,3,0.32,142,0.75,218,1897,2115
0,0,0,1,3,0.32,162,0.82,885,2446,3331
0,2,1,2,3,0.33,151,0.86,135,3787,3922
0,1,1,1,3,0.31,149,0.76,378,4881,5259
0,5,1,2,3,0.32,176,0.87,349,4659,5008
0,1,1,2,3,0.30,177,0.70,195,3019,3214
0,4,1,2,3,0.32,162,0.85,320,5125,5445
1,1,0,1,3,0.32,151,0.76,430,887,1317
0,2,1,1,3,0.32,129,0.81,531,4571,5102
0,6,0,1,3,0.34,165,0.89,767,4280,5047
1,5,0,1,3,0.31,145,0.69,440,2928,3368
0,2,1,2,3,0.33,176,0.81,103,1059,1162
0,3,1,1,3,0.31,161,0.73,188,3425,3613
0,6,0,1,3,0.33,155,0.82,1313,4316,5629
0,1,1,1,3,0.33,150,0.86,359,1687,2046
0,0,0,1,3,0.33,153,0.82,1201,3906,5107
0,0,0,1,3,0.30,140,0.67,710,2713,3423
0,5,1,2,3,0.30,156,0.63,221,3402,3623
0,6,0,1,3,0.32,152,0.81,1156,2770,3926
0,6,0,1,3,0.33,159,0.78,724,1408,2132
0,6,0,1,3,0.32,150,0.78,943,2720,3663
0,4,1,2,3,0.34,167,0.87,314,3814,4128
0,0,0,1,3,0.35,178,0.92,634,2851,3485
0,5,1,2,3,0.32,159,0.77,456,3291,3747
0,3,1,1,3,0.34,163,0.82,333,4934,5267
0,0,0,1,3,0.33,147,0.79,1047,1424,4471
0,5,1,1,3,0.34,154,0.83,307,3791,4098
0,3,1,1,3,0.32,145,0.69,231,1903,2134
0,5,1,2,3,0.32,184,0.77,172,1299,1471
0,5,1,2,3,0.32,173,0.78,177,1506,1683
0,0,0,1,3,0.34,147,0.81,599,2826,3425
0,1,1,1,3,0.36,170,0.89,362,3307,3669
1,4,0,1,3,0.35,158,0.95,955,1470,2425
0,4,1,2,3,0.36,177,0.93,244,3831,4075
0,4,1,2,3,0.32,158,0.69,139,2914,3053
0,6,0,2,3,0.34,188,0.87,879,1576,2455
0,2,1,1,3,0.35,184,0.88,439,3900,4339
0,0,0,1,3,0.34,169,0.77,922,3747,4669
0,2,1,2,3,0.32,166,0.66,327,3767,4094
0,5,1,1,3,0.35,163,0.79,349,3805,4154
0,6,0,2,3,0.32,149,0.73,1029,4109,5138
0,0,0,1,3,0.35,168,0.87,694,1708,2402
0,6,0,2,3,0.36,181,0.84,331,654,985
0,3,1,2,3,0.35,180,0.82,65,1769,1834
0,5,1,1,3,0.35,152,0.83,484,5214,5698
0,6,0,1,3,0.36,153,0.81,1435,2883,4318
0,3,1,2,3,0.34,184,0.77,203,1918,2121
0,0,0,2,3,0.36,182,0.88,892,3757,4649
0,0,0,1,3,0.36,173,0.91,952,2697,3649
0,3,1,1,3,0.35,153,0.82,141,4028,4169
0,3,1,1,3,0.34,147,0.70,482,4380,4862
0,4,1,1,4,0.34,133,0.65,340,4975,5315
0,5,1,2,4,0.36,166,0.86,246,2948,3194
0,3,1,1,4,0.36,161,0.90,615,4531,5146
0,2,1,2,4,0.34,160,0.70,282,5219,5501
0,2,1,1,4,0.36,150,0.85,199,4176,4375
0,5,1,1,4,0.36,152,0.73,618,5229,5847
0,0,0,2,4,0.35,179,0.78,616,2302,2918
0,6,0,1,4,0.36,155,0.79,1275,2792,4067
0,3,1,2,4,0.36,167,0.83,419,5147,5566
0,2,1,1,4,0.35,140,0.81,229,4134,4363
0,5,1,1,4,0.36,154,0.79,709,5283,5992
0,0,0,1,4,0.36,148,0.78,1658,3253,4911
0,0,0,2,4,0.37,184,0.90,538,3248,3786
0,0,0,2,4,0.35,170,0.75,131,670,801
0,5,1,2,4,0.35,171,0.65,120,1341,1461
0,3,1,2,4,0.37,178,0.80,321,1871,2192
0,4,1,2,4,0.37,158,0.84,466,5520,5986
0,1,1,1,4,0.36,149,0.73,253,4069,4322
0,5,1,1,4,0.38,157,0.85,1603,2307,3910
0,0,0,1,4,0.38,169,0.81,686,1608,2294
0,5,1,2,4,0.38,158,0.86,796,4663,5459
0,2,1,2,4,0.36,172,0.65,127,2808,2935
0,5,1,1,4,0.38,169,0.73,163,2046,2209
1,4,0,1,4,0.37,155,0.83,560,935,5495
0,2,1,2,4,0.38,169,0.92,534,5100,5634
0,5,1,1,4,0.38,164,0.90,1095,1697,2792
0,5,1,2,4,0.36,150,0.74,178,3399,3577
0,6,0,1,4,0.39,168,0.93,1249,1819,3068
0,0,0,2,4,0.37,195,0.66,114,491,605
0,6,0,2,4,0.38,149,0.87,1120,3100,4220
0,3,1,1,4,0.39,172,0.92,370,3816,4186
0,0,0,1,4,0.38,148,0.82,1651,1598,3249
0,4,1,2,4,0.37,181,0.81,190,2743,2933
0,1,1,2,4,0.38,162,0.76,449,5050,5499
0,6,0,2,4,0.39,191,0.90,1153,4429,5582
0,4,1,2,4,0.38,180,0.82,269,3828,4097
1,1,0,2,4,0.39,171,0.81,874,4604,5478
0,0,0,2,4,0.39,191,0.84,441,2787,3228
0,6,0,2,4,0.38,179,0.75,640,1437,2077
0,1,1,2,4,0.39,176,0.92,330,3240,3570
0,0,0,1,4,0.38,153,0.73,982,1435,2417
0,1,1,2,4,0.39,183,0.94,233,3578,3811
0,2,1,2,4,0.40,160,0.94,216,3534,3750
0,4,1,3,4,0.39,100,0.74,46,577,623
0,6,0,1,4,0.39,165,0.94,2090,4446,6536
0,2,1,1,4,0.38,142,0.74,324,4185,4509
0,3,1,1,4,0.39,147,0.74,413,2395,2808
0,1,1,2,4,0.40,191,0.90,212,4373,4585
0,6,0,1,4,0.39,153,0.83,1070,3451,4521
0,6,0,1,4,0.39,149,0.85,2252,4857,7109
0,1,1,1,4,0.40,176,0.94,373,3662,4035
0,3,1,1,4,0.39,157,0.77,394,4379,4773
0,0,0,3,4,0.39,184,0.66,120,907,1027
0,4,1,1,4,0.39,147,0.71,663,4746,5409
0,4,1,2,4,0.40,167,0.81,190,3571,3761
0,6,0,1,4,0.39,119,0.49,532,1103,1635
0,3,1,1,4,0.41,176,0.94,305,3804,4109
0,2,1,1,4,0.40,168,0.86,410,3658,4068
0,5,1,2,4,0.40,162,0.73,470,3576,4046
0,5,1,1,4,0.39,138,0.70,1807,4653,6460
0,3,1,1,4,0.39,151,0.65,432,4484,4916
0,1,1,2,4,0.40,188,0.71,81,1365,3446
0,5,1,2,4,0.41,174,0.76,246,3241,3487
0,2,1,1,4,0.41,172,0.93,376,3829,4205
0,4,1,1,4,0.41,170,0.86,318,3656,3974
0,3,1,3,4,0.40,197,0.73,50,655,705
0,6,0,2,4,0.41,175,0.71,480,1949,2429
0,6,0,1,4,0.41,162,0.78,665,1820,2485
0,2,1,1,4,0.41,167,0.78,433,5124,5557
0,5,1,2,4,0.40,141,0.59,447,4122,4569
0,3,1,2,4,0.42,182,0.75,209,1953,2162
0,2,1,1,4,0.41,145,0.75,518,5115,5633
0,3,1,2,4,0.40,174,0.67,255,2378,2633
0,2,1,2,4,0.40,164,0.61,167,1628,1795
0,6,0,2,4,0.41,162,0.84,956,3110,4066
0,4,1,1,4,0.41,160,0.79,424,2320,2744
0,1,1,1,4,0.40,138,0.58,208,1705,1913
0,0,0,2,4,0.42,171,0.86,781,2729,3510
0,2,1,3,4,0.42,196,0.88,69,1538,1607
0,0,0,1,4,0.42,166,0.87,2290,4562,6852
0,0,0,1,4,0.42,174,0.90,1619,2762,4381
0,4,1,2,4,0.41,163,0.73,181,3528,3709
0,6,0,1,4,0.43,163,0.91,1499,2809,4308
0,4,1,2,4,0.43,176,0.95,227,2841,3068
0,6,0,2,4,0.42,174,0.75,2301,3934,6235
0,5,1,2,4,0.42,174,0.66,269,3187,3456
0,0,0,2,4,0.42,168,0.83,2347,3694,6041
0,0,0,2,4,0.43,186,0.85,1188,1707,2895
0,5,1,1,4,0.42,157,0.78,676,3628,4304
0,3,1,2,4,0.43,186,0.78,107,2553,2660
0,1,1,2,4,0.41,174,0.71,401,1676,2077
0,6,0,3,4,0.43,189,0.66,121,674,795
0,1,1,1,4,0.43,150,0.69,1208,4728,5936
0,4,1,1,4,0.43,146,0.82,834,6736,7570
0,4,1,1,4,0.43,137,0.78,1192,5265,6457
0,1,1,2,4,0.44,193,0.81,329,4841,5170
0,5,1,2,4,0.44,184,0.89,548,3830,4378
0,4,1,1,4,0.43,151,0.77,259,2216,2475
0,0,0,2,4,0.44,188,0.78,1532,3464,4996
0,4,1,1,4,0.43,160,0.84,571,2570,3141
0,5,1,1,4,0.43,154,0.76,1060,6222,7282
0,6,0,1,4,0.43,125,0.73,3252,3605,6857
0,3,1,1,4,0.43,149,0.68,331,5398,5729
0,1,1,3,4,0.44,188,0.64,2,20,22
0,3,1,2,4,0.43,176,0.66,112,2454,2566
0,0,0,1,4,0.43,146,0.72,1004,2713,3717
0,2,1,1,4,0.44,162,0.77,460,2243,2703
0,5,1,1,4,0.43,141,0.84,1252,5146,6398
0,1,1,1,4,0.44,148,0.61,795,4763,5558
0,2,1,2,4,0.44,176,0.81,601,5791,6392
1,5,0,1,4,0.44,167,0.77,642,2484,3126
0,2,1,1,4,0.44,144,0.75,819,5099,5918
0,1,1,3,4,0.45,191,0.86,220,2545,2765
0,0,0,2,5,0.45,176,0.89,1138,2213,3351
0,1,1,1,5,0.46,177,0.92,555,5679,6234
0,4,1,1,5,0.44,155,0.81,516,4546,5062
0,3,1,1,5,0.45,169,0.90,979,6482,7461
0,3,1,3,5,0.45,193,0.86,145,1672,1817
0,0,0,1,5,0.45,148,0.70,1558,2186,3744
0,5,1,1,5,0.45,140,0.65,1014,5219,6233
0,2,1,2,5,0.45,183,0.74,96,2818,2914
0,0,0,1,5,0.45,159,0.88,2229,4075,6304
0,0,0,1,5,0.46,170,0.79,810,2261,3071
0,4,1,1,5,0.44,144,0.70,614,3819,4433
0,4,1,1,5,0.45,141,0.67,745,3444,4189
0,6,0,2,5,0.45,189,0.77,1462,2574,4036
0,2,1,3,5,0.46,195,0.77,126,2468,2594
0,1,1,1,5,0.46,177,0.88,699,3488,4187
