渠道代号	日均UV	平均注册率	平均搜索量	访问深度	平均停留时间	订单转化率	投放总时间	素材类型	广告类型	合作方式	广告尺寸	广告卖点
A203	3.69 	0.0071 	0.0214 	2.3071 	419.77 	0.0258 	20.00 	jpg	banner	roi	140*40	打折
A387	178.70 	0.0040 	0.0324 	2.0489 	157.94 	0.0030 	19.00 	jpg	banner	cpc	140*40	满减
A388	91.77 	0.0022 	0.0530 	1.8771 	357.93 	0.0026 	4.00 	jpg	banner	cpc	140*40	满减
A389	1.09 	0.0074 	0.3382 	4.2426 	364.07 	0.0153 	10.00 	jpg	banner	cpc	140*40	满减
A390	3.37 	0.0028 	0.1740 	2.1934 	313.34 	0.0007 	30.00 	jpg	banner	cpc	140*40	满减
A391	0.95 	0.0141 	0.4155 	4.2113 	415.56 	0.0276 	2.00 	jpg	banner	cpc	140*40	满减
A392	3.30 	0.0028 	0.0852 	1.7358 	155.19 	0.0007 	4.00 	jpg	banner	cpc	140*40	满减
A393	11.91 	0.0032 	0.0539 	2.3751 	243.29 	0.0032 	4.00 	jpg	banner	cpc	140*40	满减
A394	49.21 	0.0038 	0.0448 	2.3813 	257.53 	0.0030 	6.00 	jpg	banner	cpc	140*40	满减
A395	46.31 	0.0044 	0.0559 	2.2621 	231.91 	0.0029 	16.00 	jpg	banner	cpc	140*40	满减
A396	125.55 	0.0021 	0.0130 	2.0766 	238.87 	0.0018 	19.00 	jpg	banner	cpc	140*40	满减
A397	115.38 	0.0020 	0.0184 	2.0319 	205.02 	0.0018 	8.00 	jpg	banner	cpc	140*40	满减
A398	12.71 	0.0008 	0.0188 	2.0617 	228.40 	0.0024 	21.00 	jpg	banner	cpc	140*40	满减
A399	0.74 	0.0000 	0.0125 	1.4250 	152.10 	0.0000 	14.00 	jpg	banner	cpc	140*40	满减
A400	408.42 	0.0015 	0.0117 	1.9114 	172.92 	0.0025 	9.00 	jpg	banner	cpc	140*40	满减
A401	13.52 	0.0021 	0.0141 	1.8211 	176.53 	0.0025 	15.00 	jpg	banner	cpc	140*40	满减
A402	1.53 	0.0128 	0.0128 	1.6603 	222.31 	0.0047 	12.00 	jpg	banner	cpc	140*40	满减
A403	2.32 	0.0000 	0.0042 	1.9789 	267.97 	0.0000 	30.00 	jpg	banner	cpc	140*40	满减
A404	20.60 	0.0009 	0.0140 	1.7237 	245.72 	0.0016 	11.00 	jpg	banner	cpc	140*40	满减
A405	31.84 	0.0015 	0.0132 	1.6553 	227.03 	0.0012 	22.00 	jpg	banner	cpc	140*40	满减
A406	30.74 	0.0031 	0.0103 	1.6126 	273.09 	0.0027 	14.00 	jpg	banner	cpc	140*40	满减
A407	87.57 	0.0014 	0.0094 	1.7953 	170.74 	0.0026 	13.00 	jpg	banner	cpc	140*40	满减
A408	155.81 	0.0016 	0.0122 	1.8087 	165.21 	0.0026 	9.00 	jpg	banner	cpc	140*40	满减
A409	1.42 	0.0000 	0.0133 	1.5467 	195.21 	0.0017 	19.00 	jpg	banner	cpc	140*40	满减
A410	471.30 	0.0021 	0.0115 	1.7931 	172.97 	0.0026 	30.00 	jpg	banner	cpc	140*40	满减
A411	397.16 	0.0020 	0.0105 	2.3973 	244.97 	0.0026 	23.00 	jpg	banner	cpc	140*40	满减
A412	0.73 	0.0000 	0.0120 	2.0843 	266.12 	0.0000 	18.00 	jpg	banner	cpc	140*40	满减
A413	56.99 	0.0029 	0.0124 	1.8223 	158.79 	0.0024 	5.00 	jpg	banner	cpc	140*40	满减
A414	2699.42 	0.0060 	0.0799 	3.8914 	362.45 	0.0089 	18.00 	jpg	banner	cpc	140*40	满减
A415	1.26 	0.0000 	0.0152 	1.8485 	103.70 	0.0000 	12.00 	jpg	banner	cpc	140*40	满减
A416	0.97 	0.0096 	0.0288 	2.1058 	263.03 	0.0025 	25.00 	jpg	banner	cpc	140*40	满减
A417	51.47 	0.0036 	0.0090 	1.4805 	177.47 	0.0041 	29.00 	jpg	banner	cpc	140*40	满减
A418	396.72 	0.0027 	0.0091 	1.5081 	154.08 	0.0031 	27.00 	jpg	banner	cpc	140*40	满减
A419	120.11 	0.0042 	0.0095 	1.4805 	161.68 	0.0034 	27.00 	jpg	banner	cpc	140*40	满减
A420	162.44 	0.0012 	0.0094 	1.6565 	111.44 	0.0013 	23.00 	jpg	banner	cpc	140*40	满减
A421	18.11 	0.0016 	0.0065 	1.8496 	126.20 	0.0024 	30.00 	jpg	banner	cpc	140*40	满减
A422	3282.76 	0.0024 	0.0082 	2.3239 	247.37 	0.0029 	21.00 	jpg	banner	cpc	140*40	满减
A423	3.02 	0.0000 	0.0062 	2.3292 	319.37 	0.0063 	18.00 	jpg	banner	cpc	140*40	满减
A424	2687.24 	0.0037 	0.0090 	2.4957 	244.23 	0.0049 	28.00 	jpg	banner	cpc	140*40	满减
A425	148.06 	0.0063 	0.0226 	3.4601 	346.18 	0.0115 	7.00 	jpg	banner	cpc	140*40	满减
A426	975.09 	0.0044 	0.0109 	2.4405 	221.94 	0.0065 	26.00 	jpg	banner	cpc	140*40	满减
A427	1.78 	0.0053 	0.0107 	2.2299 	258.69 	0.0040 	23.00 	jpg	banner	cpc	140*40	满减
A428	1.02 	0.0000 	0.0190 	1.9143 	383.90 	0.0000 	5.00 	jpg	banner	cpc	140*40	满减
A429	0.72 	0.0000 	0.0000 	1.8182 	452.26 	0.0000 	13.00 	jpg	banner	cpc	140*40	满减
A430	1.41 	0.0067 	0.0201 	1.7517 	353.21 	0.0000 	12.00 	jpg	banner	cpc	140*40	满减
A431	408.62 	0.0033 	0.0183 	2.9112 	300.89 	0.0056 	30.00 	jpg	banner	cpc	140*40	满减
A432	26.00 	0.0041 	0.0075 	1.5792 	224.96 	0.0017 	2.00 	jpg	banner	cpc	140*40	满减
A433	5.37 	0.0018 	0.0180 	1.9928 	181.93 	0.0049 	15.00 	jpg	banner	cpc	140*40	满减
A434	131.25 	0.0040 	0.0082 	2.0127 	235.72 	0.0072 	6.00 	jpg	banner	cpc	140*40	满减
A435	1021.84 	0.0012 	0.0085 	2.0031 	191.94 	0.0014 	13.00 	jpg	banner	cpc	308*388	满减
A436	1.45 	0.0000 	0.0000 	1.8649 	183.42 	0.0016 	14.00 	jpg	banner	cpc	308*388	满减
A437	397.25 	0.0040 	0.0174 	2.7874 	292.63 	0.0029 	8.00 	jpg	banner	cpc	308*388	满减
A438	158.33 	0.0035 	0.0138 	2.5696 	296.33 	0.0023 	1.00 	jpg	banner	cpc	308*388	满减
A439	1.34 	0.0000 	0.0000 	1.3037 	233.04 	0.0000 	24.00 	jpg	banner	cpc	308*388	满减
A440	3.89 	0.0024 	0.0048 	2.2153 	448.55 	0.0043 	19.00 	jpg	banner	cpc	308*388	满减
A441	4.22 	0.0000 	0.0184 	1.8782 	218.95 	0.0011 	7.00 	jpg	banner	cpc	308*388	满减
A442	1.13 	0.0000 	0.0168 	1.8487 	328.79 	0.0000 	25.00 	jpg	banner	cpc	308*388	满减
A443	62.11 	0.0002 	0.0107 	1.8414 	187.24 	0.0015 	12.00 	jpg	banner	cpc	308*388	满减
A444	434.67 	0.0012 	0.0119 	2.6377 	227.92 	0.0017 	12.00 	jpg	banner	cpc	308*388	满减
A445	5.12 	0.0076 	0.0170 	2.2231 	245.51 	0.0005 	19.00 	jpg	banner	cpc	308*388	满减
A446	1.23 	0.0391 	0.0000 	2.1172 	451.57 	0.0039 	14.00 	jpg	banner	cpc	308*388	满减
A447	0.85 	0.0000 	0.0115 	2.2414 	321.12 	0.0168 	27.00 	jpg	banner	cpc	308*388	满减
A448	351.81 	0.0028 	0.0102 	2.5722 	258.83 	0.0044 	11.00 	jpg	banner	cpc	308*388	满减
A449	28.28 	0.0014 	0.0038 	2.5200 	245.31 	0.0017 	6.00 	jpg	banner	cpc	308*388	满减
A450	216.24 	0.0019 	0.0106 	2.3688 	205.55 	0.0012 	27.00 	jpg	banner	cpc	308*388	满减
A451	37.56 	0.0015 	0.0159 	2.2650 	238.15 	0.0058 	9.00 	jpg	banner	cpc	308*388	满减
A452	166.28 	0.0034 	0.0057 	2.6545 	246.89 	0.0029 	15.00 	jpg	banner	cpc	308*388	满减
A453	0.75 	0.0000 	0.0000 	1.4026 	137.35 	0.0000 	17.00 	jpg	banner	cpc	308*388	满减
A454	1.97 	0.0050 	0.0000 	1.7525 	196.86 	0.0012 	24.00 	jpg	banner	cpc	308*388	满减
A455	4.44 	0.0000 	0.0000 	1.3474 	507.23 	0.0005 	23.00 	jpg	banner	cpc	308*388	满减
A456	31.71 	0.0003 	0.0006 	1.0971 	263.70 	0.0001 	15.00 	jpg	banner	cpc	308*388	满减
A457	127.05 	0.0006 	0.0029 	1.2228 	171.44 	0.0003 	5.00 	jpg	banner	cpc	308*388	满减
A458	8.99 	0.0000 	0.0033 	1.4880 	170.90 	0.0005 	4.00 	jpg	banner	cpc	308*388	满减
A459	7.75 	0.0000 	0.0013 	1.0772 	403.79 	0.0000 	5.00 	jpg	banner	cpc	308*388	满减
