date,source,site,channel,media,visit
2017/5/15,品牌营销_品牌词,品牌词产品,播放器播放标签,PC,17600
2017/5/15,手机_品牌营销_品牌词,品牌词广告,15秒前贴片_app,app,15865
2017/5/15,SEO,百度,WAP,-,10858
2017/5/15,手机_品牌营销_品牌词,品牌词运营,移动端_乐见,app,9768
2017/5/15,SEO,百度,PC,-,9228
2017/5/15,品牌营销_品牌词,品牌词导航,pc_全站顶导_超级电视入口,PC,3824
2017/5/15,品牌营销_品牌词,品牌词运营,播放页loading,pc,3673
2017/5/15,手机_品牌营销_品牌词,品牌词运营,app端焦点图,app,3553
2017/5/15,其它,四次元_应用,品牌词视频,android,3585
2017/5/15,品牌营销_品牌词,品牌词广告,15秒前贴片_pc,pc,3469
2017/5/15,搜索,360,综合品专sum,PC品专,2908
2017/5/15,手机_品牌营销_品牌词,品牌词产品,android_首页购物车_入口,移动端,1858
2017/5/15,SEO,搜狗,WAP,-,1996
2017/5/15,其它,四次元_应用,品牌词应用商店,android,1660
2017/5/15,公众号,微信,无线,品牌词商城,1572
2017/5/15,网站联盟,亿起发,-,-,2124
2017/5/15,品牌营销_品牌词,品牌词导航,pc_全站顶导_入口,PC,1477
2017/5/15,搜索,搜狗综合品专sum,PC品专,标题,1310
2017/5/15,品牌营销_品牌词,品牌词导航,pc_全站顶导_超级手机入口,PC,1321
2017/5/15,CRM,准会员,电视,电视推送,1064
2017/5/15,品牌营销_品牌词,品牌词运营,首页焦点图,pc,798
2017/5/15,网站联盟,领克特,-,-,2073
2017/5/15,手机_网站联盟,亿起发,-,-,1047
2017/5/15,手机_品牌营销_品牌词,品牌词导航,m站_生态区导航_入口,移动端,593
2017/5/15,网站联盟,银橙传媒,-,-,762
2017/5/15,手机_品牌营销_品牌词,品牌词,移动端,-,528
2017/5/15,手机_社会化联盟,个人网站联盟,M站,个人网站联盟,528
2017/5/15,品牌营销_品牌词,品牌词运营,其他,PC,531
2017/5/15,网站联盟,智推,PC端,-,473
2017/5/15,网站联盟,多麦,PC,-,1083
2017/5/15,网站联盟,盘石联盟,-,-,379
2017/5/15,移动,手机,应用商店,品牌词手机,333
2017/5/15,CRM,准会员,商城,电视推送,367
2017/5/15,手机_品牌营销_品牌词,品牌词运营,M站焦点图,app,315
2017/5/15,社会化联盟,链接广告,PC端,-,388
2017/5/15,手机_品牌营销_品牌词,品牌词产品,客户端_播放器播放标签,移动端,274
2017/5/15,手机_品牌营销_品牌词,品牌词产品,m站_超级电视聚合页入口,移动端,278
