,公司名称,投资方,更新时间,融资轮次,行业,详情URL
0,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
1,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
2,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
3,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
4,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
5,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
6,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
7,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
8,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
9,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
10,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
11,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
12,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
13,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
14,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
15,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
16,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
17,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
18,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
19,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
20,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
21,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
22,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
23,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
24,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
25,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
26,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
27,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
28,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
29,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
30,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
31,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
32,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
33,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
34,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
35,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
36,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
37,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
38,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
39,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
40,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
41,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
42,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
43,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
44,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
45,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
46,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
47,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
48,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
49,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
50,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
51,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
52,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
53,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
54,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
55,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
56,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
57,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
