,书籍名称,书籍评分,书籍评论人数,书籍链接,作者
0,《“豆瓣阅读新科幻”作品套装 （2册，含“宇航员大蛋”定制帆布包、手绘星空折页）》,9.8,18人评论,https://market.douban.com/book/xinkehuan?region=zhishu_collect_books_list&location=1,?双翅目  翼走?著 / 东方出版社 / 2018-04 / 564 页
1,《契诃夫戏剧全集（2018特别策划套装+戏剧笔记本）》,0.0,14人评论,https://market.douban.com/book/Chekhov?region=zhishu_collect_books_list&location=2,?[俄] 安东尼·巴甫洛维奇·契诃夫??著 / 上海译文出版社 / 2018-03 / 1010 页
2,《诚品时光》,8.6,40人评论,https://market.douban.com/book/chengpingshiguang?region=zhishu_collect_books_list&location=3,林静宜??著 / 中信出版集团·见识城邦 / 2018-3 / 236 页
3,《艺术博物馆》,8.9,56人评论,https://market.douban.com/book/yishubowuguan?region=zhishu_collect_books_list&location=4,英国费顿出版社?著 / 后浪丨湖南美术出版社 / 2017年10月 / 996页
4,《刺杀骑士团长》,7.7,5020人评论,https://market.douban.com/book/qishi?region=zhishu_collect_books_list&location=5,[日] 村上春树? 著 / 林少华 译 / 上海译文出版社 / 2018年1月 / 770页
5,《丁丁历险记》,8.9,53人评论,https://market.douban.com/book/tintin?region=zhishu_collect_books_list&location=6,[比利时] 埃尔热  著 / 王炳东 / 中国少年儿童出版社 / 2009-12
6,《给孩子的童行知识盒子》,8.3,1416人评论,https://market.douban.com/book/tongxing?region=zhishu_collect_books_list&location=7,
7,《小猪佩奇故事书（礼品套装）》,9.1,18人评论,https://market.douban.com/book/peppapig?region=zhishu_collect_books_list&location=8,英国快乐瓢虫出版公司 著/孙圣鹏 译/安徽少年儿童出版社/2016-12
8,《石黑一雄作品系列套装+ 豆瓣独家2018手账》,8.1,7394人评论,https://market.douban.com/book/kazuoishiguro?region=zhishu_collect_books_list&location=9,[英] 石黑一雄 著 / 上海译文出版社 / 2016年1月
9,《丰子恺艺术四书》,9.3,75人评论,https://market.douban.com/book/fengzikai?region=zhishu_collect_books_list&location=10,丰子恺 著 / 北京日报出版社 | 阳光博客 / 2017年7月 / 917页
10,《「世界电影地图」三部曲》,7.3,117人评论,https://market.douban.com/book/moviemap?region=zhishu_collect_books_list&location=11,程波 张乐山 袁海燕 余泽人 著 / 鹭江出版社 / 2017年9月 / 1200 页
11,《寂然的狂喜》,7.5,366人评论,https://market.douban.com/book/yeats?region=zhishu_collect_books_list&location=12,[爱尔兰] 威廉·巴特勒·叶芝 著 / 傅浩、刘勇军 译 / 中信出版社 / 2016年11月 / 240页
12,《造房子》,8.4,2346人评论,https://market.douban.com/book/zaofangzi?region=zhishu_collect_books_list&location=13,王澍 著 / 浦睿文化 & 湖南美术出版社 / 精装彩印 / 266页
13,《「悲观主义三部曲」纪念版套装》,8.6,802人评论,https://market.douban.com/book/liaoyimei?region=zhishu_collect_books_list&location=14,廖一梅 著 / 浦睿文化 |湖南文艺出版社 / 2017年9月 /480页
14,《自由与爱之地：入以色列记》,8.2,493人评论,https://market.douban.com/book/yiselie?region=zhishu_collect_books_list&location=15,云也退 著 / 理想国|浙江大学出版社 / 2017年9月 /400页
15,《梳毛、八卦及语言的进化》,8.3,105人评论,https://market.douban.com/book/grooming?region=zhishu_collect_books_list&location=16,[英] 罗宾·邓巴 著 / 张杰、区沛仪 译 /  译言丨现代出版社 / 272页 / 精装
16,《未知大学》,9.0,358人评论,https://market.douban.com/book/weizhidaxue?region=zhishu_collect_books_list&location=17,[智利] 罗贝托?波拉尼奥 著 / 范晔、杨玲 译 / 世纪文景|上海人民出版社 / 2017年8月 /1120页
17,《奈良手记》,8.0,274人评论,https://market.douban.com/book/naranote?region=zhishu_collect_books_list&location=18,[[日]奈良美智 / 王筱玲 译 / 浦睿文化|湖南人民出版社 / 平装 / 200页
18,《不思议图书馆》,7.2,620人评论,https://market.douban.com/book/busiyi?region=zhishu_collect_books_list&location=1,[日] 寺山修司 / 杨玲 译 / 浦睿文化|湖南人民出版社 / 精装 / 288页
19,《如花在野》,8.7,239人评论,https://market.douban.com/book/ruhuazaiye?region=zhishu_collect_books_list&location=2,[日]田中昭光 / 张南揽 译 / 浦睿文化 | 湖南美术出版社 / 精装 / 215页
20,《与火同行：大卫·林奇谈电影》,8.2,424人评论,https://market.douban.com/book/lynch?region=zhishu_collect_books_list&location=3,[美]大卫·林奇 / 冯涛 译 / 雅众文化|新星出版社 / 平装 / 384页
21,《被仰望与被遗忘的》,8.2,1322人评论,https://market.douban.com/book/talese?region=zhishu_collect_books_list&location=4,[美]盖伊·特立斯 / 范晓彬 姜伊敏 译 / 上海人民出版社 / 精装 / 496页
22,《百鬼夜行 阳》,7.7,1044人评论,https://market.douban.com/book/baiguiyexing?region=zhishu_collect_books_list&location=5,[日]京极夏彦 / 王华懋 译 / 上海人民出版社 / 精装 / 448页
23,《造物》,7.7,239人评论,https://market.douban.com/book/zaowu?region=zhishu_collect_books_list&location=6,[日]平凡社 编 / 何晓毅 译 / 上海三联书店 / 精装 / 421页
24,《山之四季》,8.0,1799人评论,https://market.douban.com/book/shanzhisiji?region=zhishu_collect_books_list&location=7,[日]高村光太郎  /王珏 译 / 云南人民出版社 / 精装 / 128页
25,《现世》,7.9,354人评论,https://market.douban.com/book/xianshi?region=zhishu_collect_books_list&location=8,[美] 安妮·迪拉德 /倪璞尔 译 / 湖岸|外语教学与研究出版社 / 精装 / 256页
26,《我在天堂那五年》,8.3,264人评论,https://market.douban.com/book/fiveyears?region=zhishu_collect_books_list&location=9,[美] 约翰·施利姆  /彭金玲  译 / 广西师范大学出版社 / 软精装 / 360页
27,《时光列车》,8.3,735人评论,https://market.douban.com/book/mtrain?region=zhishu_collect_books_list&location=10,[美] 帕蒂·史密斯  /非尔  译 / 理想国 | 广西师范大学出版社 / 精装 / 352页
28,《日本料理神髓》,8.1,364人评论,https://market.douban.com/book/liaoli?region=zhishu_collect_books_list&location=11,[日] 小山裕久 / 赵韵毅 译 / 上海人民出版社·世纪文景 / 精装 / 272页
29,《画框里的男人装》,6.6,199人评论,https://market.douban.com/book/frameman?region=zhishu_collect_books_list&location=12,[日]中野京子 / 于晓菁 译 / 中信出版社 / 平装 / 200页
30,《伍迪·艾伦谈话录》,8.3,562人评论,https://market.douban.com/book/woodyallen?region=zhishu_collect_books_list&location=13,(美)埃里克·拉克斯 / 河南大学出版社 / 付裕、纪宇译 / 平装 / 559页
