hospitalAddress,hospitalDesc,hospitalName,hospitalSize
,,,
医院所在地：安徽-阜阳,"康复科医生,眼科住院医生,眼科手术医生",安徽省界首新宜眼科医院,其他 少于50人人
,,,
医院所在地：湖北-武汉,"精神科,心内科学科带头人,病理科学科带头人,重症医学科学科带头人,全科医生,病理科医生,甲乳外科医生,神经内科介入医生,心内科介入医生",武汉市汉口医院,其他 50~200人人
,,,
医院所在地：浙江-金华,"护理,全科医生,针灸推拿理疗师",永康市舟山镇卫生院,社区服务 50~200人人
,,,
医院所在地：广东-惠州,"内科医生,妇科医生,药剂,营销企划,市场营销,内儿科医生,护理,骨伤科医生,X光 、B超 医生,理疗医生,大外科医生,检验,妇科助理医生,护士长,门诊主任,院长",惠阳一善医院,其他 50~200人人
,,,
医院所在地：江苏-苏州,"前台,口腔执业医师,护士",苏州晟欣齿科诊所有限公司,其他 50~200人人
,,,
医院所在地：浙江-金华,整形外科医助,金华心艺整形美容医院,专科医院 少于50人人
,,,
医院所在地：广东-珠海,"内科医师,内科护士,学科带头人,肾内科主任,护士长",广东养和肾透析医疗投资控股有限公司,其他 少于50人人
,,,
医院所在地：贵州-贵阳,"外科医生,中医科主任,放射科主任,手外科医生,护士",贵阳白志祥骨科医院,其他 50~200人人
,,,
医院所在地：浙江-台州,"临床医学硕士研究生,临床专业",三门县人民医院,公立医院 500~1000人人
,,,
医院所在地：贵州-六盘水,"化验室医生,护士,神经医生,麻醉医生,导医,急诊医生,心理医师,精神科医师,护理部主任,主任",六盘水山城精神病院,其他 50~200人人
,,,
医院所在地：江苏-苏州,"护士,导医,治疗室护士,输液室护士",昆山市张浦爱心门诊部,公立医院 少于50人人
,,,
医院所在地：江苏-扬州,"药剂科,妇产科,护理,检验科,护士,康复治疗师,内科,全科医生,中医科,内科医生",扬州市广陵区李典镇新坝卫生院,其他 200~500人人
,,,
医院所在地：江苏-常州,"皮肤科,美容整形,护士,护士,外科,激光",溧阳市激光专科医院（清安医院）,其他 50~200人人
,,,
医院所在地：广东-广州,"护士,医助,导医,网络咨询专员,针灸推拿师,收银员,副主任中医师 ,院办干事,养护员 （仓库管理员）,客服专员,执业中药师,健康管理师,平面设计师,文案策划,市场营销员",广州为道医疗科技有限公司,其他 50~200人人
,,,
医院所在地：广东-广州,"销售经理,临床操作医生,技术支持工程师",欧之星(上海)激光设备有限公司,其他 50~200人人
,,,
医院所在地：贵州-六盘水,"耳鼻喉科医生,麻醉科医生,普外科医师,住院医生,超声医师,CT医师,妇产科医师,新生儿科医师,妇产科学科带头人,办公室主任,中医医师,收费员,库管员,设备维修技术员",贵州盘县新兴医院,其他 200~500人人
,,,
医院所在地：陕西-西安,"护士,内科医生",西安新城圣奥诊所,其他 50~200人人
,,,
医院所在地：广东-佛山,"妇科医生,口腔科医生,外科医生,中医科医生,内科医生,护士,检验医生,B超医生",佛山市北滘兴健医疗综合门诊,其他 50~200人人
,,,
医院所在地：贵州-贵阳,"康复科,中医科,眼耳鼻喉科,内科住院医,呼吸内科",贵阳开磷百花医院,其他 50~200人人
,,,
医院所在地：广东-东莞,"矫正医生,口腔管理院长,咨询医生,口腔全科医生,口腔医师,口腔护士,全科口腔医生",东莞虎门雅宝口腔医院,其他 少于50人人
,,,
医院所在地：贵州-六盘水,"化验室医生,护士,神经医生,麻醉医生,导医,急诊医生,心理医师,精神科医师,护理部主任,主任",六盘水山城精神病院,其他 50~200人人
,,,
医院所在地：江苏-苏州,"护士,导医,治疗室护士,输液室护士",昆山市张浦爱心门诊部,公立医院 少于50人人
,,,
医院所在地：浙江-衢州,"医学影像诊断,医学影像,骨科,护士",龙游骨伤专科医院,专科医院 50~200人人
,,,
医院所在地：广东-广州,"项目经理/销售经理（黑龙江区域）,项目经理/销售经理（吉林区域）,项目经理/销售经理（安徽区域）,项目经理/销售经理（陕西区域）,项目经理/销售经理（四川区域）,项目经理/销售经理（贵州区域）,项目经理/销售经理（云南区域）,项目经理/销售经理（广西区域）,项目经理/销售经理（湖北区域）,项目经理/销售经理（福建区域）,项目经理/销售经理（广东区域）,项目经理/销售经理（青海区域）,销售经理（甘肃区域）,项目经理/销售经理（宁夏区域）,项目经理/销售经理（山西区域）,销售经理（河北）,销售经理（河南）,运营主管,运营总监,PPP项目总监,财务助理,投标专员,项目经理/销售经理（全国区域）,融资经理,耳鼻喉医生,康复治疗师,医生集团总经理,健康管理医师,康复科医生,白内障超声乳化眼科医生",广州市林云医疗技术有限公司,其他 50~200人人
,,,
医院所在地：天津-塘沽区,"妇科大夫,口腔大夫,影像放射大夫,B超大夫,医学检验师,中医大夫,中医大夫,护士,药剂师",天津滨海新区塘沽齐康门诊部,私立医院 200~500人人
,,,
医院所在地：河南-郑州,"中医科医生,药剂师,护士",郑州润和堂中医院,私立医院 50~200人人
,,,
医院所在地：内蒙古-通辽,"麻醉 ,西医",通辽市库伦旗医院,其他 50~200人人
,,,
医院所在地：贵州-铜仁,"肾内科 主任,药剂师,检验师（中级以上）,B超执业以上医师,内科（ICU）,血透科护士,眼.五官科、口腔科合作,护士长,血透医师（内科、中医科执业以上院方职称可培训）",铜仁宏泰医院,私立医院 50~200人人
,,,
医院所在地：湖北-武汉,"公共卫生护士,护士,临床住院部医生,检验医生",武汉武锅医院,私立医院 50~200人人
,,,
医院所在地：江苏-苏州,"输液护士,中医科（推拿）,口腔科,外科执业医师,妇科,内科执业医师,输液护士,医学影像,外科执业医师,导医,妇科,护士,B超（女性）,检验,药剂,内科副主任,内科",昆山春天门诊部,私立医院 少于50人人
,,,
医院所在地：上海-闵行,内科医生,上海闵行区中谊福利院,其他 50~200人人
,,,
医院所在地：河南-郑州,"护士,中药药剂员,皮肤泌尿科合作,妇科合作加盟,中药药剂员,皮肤泌尿科,妇科,中药药剂员",金水民众中医门诊部,私立医院 50~200人人
,,,
医院所在地：广西-桂林,"中医,牙科医生,外科医生,内科医生",桂林博济医疗,其他 少于50人人
,,,
医院所在地：山东-威海,"外科医师,副院长,综合管理人员,内科主任或副主任医师 ,超声科医师 ,放射科医师 ,检验科医师 ,护师（士） ,药剂师（士）,康复师（高级、中级、初级）,中医、针灸、推拿专业人员 ,收费员",威海莱迪医院,其他 200~500人人
,,,
医院所在地：山东-济南,"理疗师,不孕不育医师,整形医生,医生助理,病房护士长,医学营养师,内科医生,中医科医生,B超、放射医生,VIP管理中心（导医/前台接待/VIP客服）,平面设计,助产士,护士,检验士/师,药剂师（士）,药房主管,产科医生,护理部助理,新生儿医生,内科医生,医务科助理,住院医师,妇科医生,麻醉医生,护理部主任",济南艾玛妇产医院,专科医院 200~500人人
,,,
医院所在地：江苏-无锡,"外科,口腔护士,护士,妇科,内科,中医执业医生",宜兴平安门诊有限公司,其他 50~200人人
,,,
医院所在地：河北-唐山,"护士,导诊,妇产科医生,五官科医生,医技人员",唐山车城医院,其他 200~500人人
,,,
医院所在地：江西-上饶,"检验,影像执业医师,医务科长,精神科医师,护理部主任,护士",鄱阳精神病医院,专科医院 50~200人人
,,,
医院所在地：四川-成都,"中医医生,临床医生",彭州段氏中医骨科医院,其他 50~200人人
,,,
医院所在地：河南-信阳,"彩色多普勒医生,心理科医生,精神科医师,护士,检验医生,康复理疗",光山县精神病医院,其他 50~200人人
,,,
医院所在地：安徽-蚌埠,"住院医生,护士,助产士",蚌埠市长淮医院,私立医院 50~200人人
,,,
医院所在地：湖北-黄石,"针灸推拿科,护士长,护士",大冶慈安康复医院,医疗集团 少于50人人
,,,
医院所在地：湖北-武汉,"康复理疗科主任,门诊行政负责人,针灸推拿理疗师,医生助理,美容师,理疗科项目运作经理",武汉诚顺和中医门诊部,专科医院 50~200人人
,,,
医院所在地：四川-遂宁,"精神科护士,护士,精神科执业医师,住院医生,精神科医师,彩超医生,放射科医师,执行院长,医务科长",大英康成精神病专科医院,专科医院 50~200人人
,,,
医院所在地：浙江-温州,"西药士（药剂）,高薪急聘产科护士长,急聘妇产科住院医生,治疗室护士,输液室室护士,化验检验医生",温州平阳健安康复医院,公立医院 200~500人人
,,,
医院所在地：辽宁-沈阳,"超声医师医助,放射线技师",沈阳于洪环北医院,私立医院 50~200人人
,,,
医院所在地：浙江-杭州,"内科医生,内科医生,内科医生,医疗美容咨询师,医疗美容护士,皮肤科医生,整形外科医生,血透室护士-应届,医疗投资机构销售,财务,办公室文员,血透室护士,肾内科医生",浙江费森辰医疗科技有限责任公司,医疗集团 少于50人人
,,,
