appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-商城,拼多多,3377,上海寻梦信息技术有限公司,7998.1万,87.00%,Android 4.0.3 以上,18.95MB,2018年04月04日,3.66.0
网上购物-商城-优惠,唯品会,2465,唯品会(珠海)电子商务有限公司,7497.4万,87.00%,Android 4.0.2 以上,50.53MB,2018年04月03日,6.15.7
网上购物-商城,淘宝,11340,淘宝（中国）软件有限公司,5亿,70.00%,Android 4.0.2 以上,74.41MB,2018年04月04日,7.7.2
网上购物-商城-优惠,蘑菇街,592,杭州卷瓜网络有限公司,3827.2万,78.00%,Android 4.0.2 以上,33.16MB,2018年04月02日,10.5.0.9858
网上购物-商城,阿里巴巴,525,阿里巴巴（中国）网络技术有限公司,7097.8万,57.00%,Android 4.0.2 以上,35.93MB,2018年04月04日,7.8.1.0
网上购物-商城,天猫,343,浙江天猫技术有限公司,9513.4万,42.00%,Android 4.0.2 以上,52.86MB,2018年03月29日,7.6.0
网上购物-商城,京东,259,北京京东叁佰陆拾度电子商务有限公司,1.9亿,51.00%,Android 4.0.2 以上,87.67MB,2018年03月27日,6.6.7
网上购物-商城,转转,2232,北京转转精神科技有限责任公司,2469.5万,94.00%,Android 4.1.x 以上,26.87MB,2018年04月02日,4.7.7
网上购物-商城,苏宁易购,475,苏宁云商集团股份有限公司,8677.4万,72.00%,Android 4.0.2 以上,75.46MB,2018年03月23日,6.0.5
网上购物-商城,一亩田,33,北京一亩田新农网络科技有限公司,553.6万,70.00%,Android 4.1.x 以上,35.22MB,2018年04月03日,V6.08.47
网上购物-商城,夜欲两性情趣商城,216,深圳市美趣互动文化有限公司,111.9万,100.00%,Android 4.4.4 以上,6.68MB,2018年03月26日,2.2.2
网上购物-商城-团购-优惠,当当,110,北京当当科文电子商务有限公司,1786.2万,55.00%,Android 4.0.2 以上,33.2MB,2018年04月08日,8.4.0
网上购物-商城-团购-优惠-全球导购,一淘,5127,淘宝（中国）软件有限公司,1302.1万,90.00%,Android 4.0.3 以上,21.45MB,2018年04月04日,8.4.2
网上购物-商城,交易猫,751,广州交易猫信息技术有限公司,1177.3万,90.00%,Android 4.2.x 以上,11.21MB,2018年01月31日,3.0.1
网上购物-商城,闪电降价,354,上海欢尚电子商务有限公司,600.4万,85.00%,Android 4.0.2 以上,25.78MB,2018年03月05日,2.5.0
网上购物-商城-优惠,贝贝,196,杭州互秀电子商务有限公司,1085.2万,68.00%,Android 4.0.2 以上,34.19MB,2018年03月29日,7.5.02
网上购物-商城,米家有品,104,北京小米移动软件有限公司,48.7万,99.00%,Android 4.1.x 以上,16.24MB,2018年04月08日,1.17.3
网上购物-商城,91情趣成人用品商城,159,重庆趣网电子商务有限公司,14.2万,100.00%,Android 4.1.x 以上,16.15MB,2018年03月20日,3.5.1
网上购物-商城,小米商城,178,小米科技有限责任公司,1975.2万,75.00%,Android 4.0.2 以上,38.47MB,2018年04月02日,4.2.16.0323.r1
网上购物-商城,衣联网,420,广州市衣联网络科技有限公司,19.1万,100.00%,Android 4.1.x 以上,50.44MB,2018年04月08日,4.5.800online
网上购物-商城,春色成人用品商城,13,重庆鸿巨网络科技有限公司,137.3万,60.00%,Android 4.1.x 以上,16.58MB,2018年01月18日,3.5.1
网上购物-商城,开心拍卖,417,上海臻棒商务咨询有限公司,10.2万,100.00%,Android 4.1.x 以上,9.2MB,2018年03月29日,1.0.1
网上购物-商城-优惠,千牛,289,淘宝（中国）软件有限公司,1998.8万,38.00%,Android 4.1.x 以上,54.86MB,2018年03月27日,6.6.6
网上购物-商城,猎物,115,昆山市优鸿电子有限公司,10万,100.00%,Android 4.2.x 以上,39.04MB,2018年04月09日,1.3.7
网上购物-商城-优惠,多点,69,多点生活（中国）网络科技有限公司,158.2万,78.00%,Android 4.1.x 以上,18.19MB,2018年04月04日,3.8.5
网上购物-商城,信用卡申办,7,济南酷彩信息技术有限公司,120.9万,100.00%,Android 4.0.2 以上,22.68MB,2017年12月27日,3.7.0
网上购物-商城,美咻咻两性情趣,247,深圳市美趣互动文化有限公司,27万,99.00%,Android 4.1.x 以上,8.4MB,2018年04月04日,6.6.0
网上购物-商城-优惠,一折特卖,2408,厦门三零零网络科技有限公司,1267.7万,93.00%,Android 2.3.2 以上,15.24MB,2018年03月15日,2.6.4
网上购物-商城,一支萌美妆分期购物平台,103,厦门大猷金融技术服务有限公司,10.1万,100.00%,Android 4.1.x 以上,57.56MB,2018年03月05日,1.0.1
网上购物-商城,衣联供货商,288,广州市衣联网络科技有限公司,10万,100.00%,Android 4.1.x 以上,57.36MB,2018年04月08日,2.4.700online
网上购物-商城,网易严选,1058,杭州再顾科技有限公司,253万,69.00%,Android 4.1.x 以上,19.45MB,2018年03月29日,3.6.0
网上购物-商城,二手手机找靓机,739,温言杰,71.6万,94.00%,Android 4.1.x 以上,21.68MB,2018年03月26日,4.6.1
网上购物-商城,分期乐,556,深圳市分期乐网络科技有限公司,819.1万,56.00%,Android 4.2.x 以上,20.85MB,2018年03月30日,4.9.1
网上购物-商城,微店,5807,北京口袋时尚科技有限公司,1952.8万,91.00%,Android 4.1.x 以上,26.36MB,2018年03月29日,8.6.0
网上购物-商城,手机惠农,257,湖南惠农科技有限公司,74.9万,95.00%,Android 4.0.2 以上,20MB,2018年03月29日,4.6.8.0
网上购物-商城,佳泰,0,深圳市金紫杉科技有限公司,12.5万,暂无,Android 4.1.x 以上,15.51MB,2018年04月03日,1.1.3
网上购物-商城,田和商城,0,湖南绿梦生物科技有限公司,23.1万,暂无,Android 2.3.2 以上,1.84MB,2018年04月04日,0.0.6
网上购物-商城,奢分期,227,广州微一网络科技有限公司,15.7万,100.00%,Android 4.1.x 以上,45.92MB,2018年03月19日,3.3.0
网上购物-商城,悦花越有,10,北京中合农发企业管理有限公司,16.2万,70.00%,Android 4.4.4 以上,30.95MB,2018年04月08日,2.1.5
网上购物-商城-团购-优惠,楚楚街,215,北京醋溜网络科技股份有限公司,824.9万,53.00%,Android 4.1.x 以上,38.17MB,2018年03月29日,3.22
网上购物-商城,桃花坞,6168,北京桃花坞科技股份有限公司,377.5万,100.00%,Android 4.1.x 以上,8.64MB,2017年11月30日,4.1.9
网上购物-商城,中金交易,0,杭州遂意网络科技有限公司,20.4万,暂无,Android 4.0.3 以上,9.76MB,2018年03月15日,1.3
网上购物-商城,11选5助手,216,上海璞旭信息技术有限公司,109.3万,95.00%,Android 4.0.3 以上,6.64MB,2018年03月16日,4.12.0305
网上购物-商城,桔子分期,128,北京桔子分期电子商务有限公司,45.9万,87.00%,Android 4.0.2 以上,15.88MB,2018年04月03日,5.0.2
网上购物-商城,云集微店,-12,浙江集商网络科技有限公司,61万,50.00%,Android 4.0.3 以上,33.33MB,2018年04月02日,3.67.03271
网上购物-商城,亚马逊购物,84,亚马逊（中国）投资有限公司,1332.7万,57.00%,Android 4.1.x 以上,36.87MB,2018年04月09日,16.7.0.600
网上购物-商城-优惠,优分期,373,北京和创未来网络科技有限公司,153.5万,89.00%,Android 4.0.2 以上,10.59MB,2018年01月16日,6.2.2
